Id,SalePrice
2658,147495.6372225562
2718,182565.6050065623
2414,208668.69948929988
1989,117676.27109943745
625,166615.32921114587
333,83849.24995461834
1327,101385.36531696407
858,149822.95324720134
95,191136.86974193846
1568,154424.84618664463
2482,160627.73430321974
1364,119102.20241751478
2584,163643.26560375845
818,279753.0838680675
2673,157943.14756410095
2089,91553.22274406724
1297,144161.36237452884
790,137963.05526916875
2616,176096.6906271244
720,198383.31226488666
222,138093.40948251868
557,135600.91710716163
1148,194633.63991530292
2766,170598.59421500546
534,184228.88854337073
1452,116134.88498962954
630,133807.73164161862
2648,139232.11382940906
125,166276.69432386
1904,43901.429283164995
1670,104766.42133921044
756,114830.01141766543
717,249149.3062882877
1032,148204.6332796932
852,212717.94263561792
1731,180938.5600848834
2639,103182.10811956186
2071,62864.49953091527
1267,118045.14641318517
1851,206173.85868191379
567,152993.69774793074
2439,218209.04851750823
1898,166618.3849788891
647,164484.9321524647
2256,215061.35831903474
979,85702.29218521336
1444,224062.84437075246
2485,116581.12187577433
157,124128.27361212879
88,129017.80427821717
2003,103204.5754031546
186,208309.04274506881
1425,240397.63657500417
2695,119330.78157132873
738,107713.71264847343
395,147086.9976170889
1353,179139.93324903827
1878,159803.33815248928
390,163226.25814584485
1456,237866.87886686076
1103,299789.66600804107
1387,133837.6889106591
2070,145021.4317146283
1199,182493.34426223594
2479,183334.21162696404
501,305822.3154584896
2362,86081.04021352631
1718,215673.4534312901
2188,61268.60600653944
1483,158680.87423340188
2557,79468.6994141511
437,351359.5462562398
2224,187708.7144498104
1628,160320.01854248805
397,132580.32710477716
587,192502.92752788577
971,146072.78356346645
2611,131660.28417881025
1887,77760.18621240884
2399,392276.8107198219
2148,194781.29835753533
304,115867.13212188463
1997,116510.73602919257
2817,115507.3788594927
1431,217860.19872485872
427,345017.41772716306
263,121700.5305228342
598,168517.71020150385
2895,244605.4725855157
687,153009.58785562162
1822,134644.9109524862
2191,99289.30045367758
179,106652.30317153689
1009,243073.28507191857
2010,109883.80653998617
1991,135684.20811911076
1411,172797.16706571312
1721,246229.46910680417
1144,205960.72056903358
593,232777.70887542452
575,319820.4333272206
1249,183108.01159283987
1604,121146.90876794307
1064,471972.2358125623
