Id,SalePrice
2658,146396.1345375592
2718,182858.2978748284
2414,208814.45956648214
1989,117799.60717921593
625,166605.11981725923
333,84252.95669483444
1327,101332.8186879844
858,149603.98962090685
95,190717.06951424657
1568,153924.14847523888
2482,161205.5797838872
1364,118641.2174318936
2584,163864.2059183988
818,277888.29126191733
2673,157027.32445539703
2089,90209.57603669554
1297,144104.71546425717
790,138305.17291861982
2616,175192.2308267514
720,198023.68065771187
222,138402.30410483293
557,136146.036658398
1148,194890.7934059099
2766,171386.24062406697
534,183780.7776308191
1452,116298.26880048336
630,134053.14084157968
2648,138553.33432529194
125,167087.91645758148
1904,45316.036037771555
1670,105326.08273838351
756,114713.31711897097
717,247974.68865329243
1032,148720.29316296964
852,212516.65415818934
1731,181593.85210689576
2639,102896.71526716705
2071,62809.55516000172
1267,118277.95032697752
1851,206232.4346244539
567,152966.98212435213
2439,218194.73291900012
1898,166649.57356841644
647,164634.61487914616
2256,215307.3122326537
979,85550.78634859082
1444,224182.7227172985
2485,116054.73130540182
157,124595.25818505671
88,129187.25601677722
2003,103398.05437955608
186,206291.44379886528
1425,240247.4356262845
2695,119528.87729489422
738,108665.22826119556
395,146815.63419767076
1353,178231.33473906672
1878,159439.49626187573
390,163127.21080615677
1456,238067.4066588989
1103,299423.3556994791
1387,135224.6348786921
2070,145319.21652448422
1199,182751.6974811263
2479,183707.3820721806
501,305611.80516074714
2362,86465.90345988203
1718,216138.31617531035
2188,61722.79499241593
1483,159150.16841236752
2557,80142.07461915603
437,351083.9255895446
2224,187919.90581921855
1628,159752.24801612183
397,132902.34101570386
587,192711.84248389857
971,144617.89892955497
2611,131444.26703115166
1887,77399.72379702797
2399,392446.8884750904
2148,194544.2513277089
304,116407.79492370252
1997,116174.39906446998
2817,115787.79467656871
1431,217963.26951356034
427,345473.5007331695
263,121753.03683358537
598,169327.67337950884
2895,244373.3235218267
687,153230.1923945767
1822,134565.03962592824
2191,99620.02148184493
179,106319.82612060884
1009,243349.0203954082
2010,110028.36558437205
1991,134761.4752432753
1411,172731.8370436382
1721,246114.15027025074
1144,206288.79094485525
593,232733.03796728596
575,319992.5826129633
1249,182471.4436781657
1604,121213.93559276553
1064,471301.14439175057
1923,150578.82293225458
1988,100546.29921747297
2325,161898.62152951458
114,199537.27335000673
2700,193137.25504365686
217,147636.2149771595
343,182433.5450661595
386,234170.0774234897
2005,81038.49039447127
2908,132807.22885314477
1814,251506.9191826702
2446,493951.7145435553
208,140971.7943170363
1679,103385.49957127398
822,337171.0350169641
6,174144.16290017747
1781,374366.07073239225
2397,314602.8254036675
2340,338900.2920752054
1618,167197.0665202644
2843,170640.03195701522
1061,354927.33911418065
2786,114607.89557353493
1935,134670.10642989943
1341,110185.03976582226
521,253466.21175385572
2136,113488.04383451826
996,210492.71147064297
227,137884.2225470083
135,175390.03899391307
1167,178421.47999373826
294,234868.23038575472
1776,205682.0196877272
540,187596.39898791487
1717,216136.26919221695
2303,121736.67271801263
116,185646.2450220589
127,158729.14998574601
1371,128898.51686099554
1014,201688.29663386845
1507,74155.91795213247
702,158113.52752041037
750,154235.81082844836
261,145724.22540299338
1559,53152.803328717855
